"","obs.corr","obs.corr.p","obs.rank","runs","obs.rand.p","random.corrs"
"52",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00576564538495369
"53",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00193788640965075
"54",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00883909787060214
"55",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00416730657726071
"56",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0145116142073414
"57",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00774077926063795
"58",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0061527237994123
"59",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00946260286606803
"60",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00278974034155052
"61",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00557131442316037
"62",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00624985468415992
"63",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00161348125969568
"64",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00900028066055844
"65",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00286205798110550
"66",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0171415470162799
"67",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0086075344665835
"68",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00333073820734469
"69",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0128765338811614
"70",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0107368440358536
"71",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0188914668994998
"72",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00375558711745937
"73",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00493240832116395
"74",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00484921870957677
"75",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0182373432305103
"76",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0083977440810124
"77",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00329083113599969
"78",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0108738656147931
"79",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0111929729243771
"80",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0140023304252179
"81",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0168727627034009
"82",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0110436807957839
"83",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00548292560651848
"84",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00685402444803436
"85",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00322219846671597
"86",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00325917429553296
"87",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00312034214393659
"88",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00769643727594093
"89",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0226661271322578
"90",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00649089913478153
"91",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00768503690206291
"92",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0081156097454938
"93",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0106147244548935
"94",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00249463846547185
"95",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.000697573174614706
"96",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0211161214960320
"97",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0125177626338125
"98",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0200180198031748
"99",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.000659102927839732
"100",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00741409308960234
"101",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0109500128841561
"102",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0121796329461319
"103",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00942141383469239
"104",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00860153792815631
"105",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00124018631216428
"106",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00316448583305316
"107",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00639266660588154
"108",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00402790878928304
"109",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00349671336796413
"110",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00557873028580759
"111",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00248064986960664
"112",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0171279505824815
"113",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00700234653098391
"114",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0305310605184952
"115",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00118918345864426
"116",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00464129801050551
"117",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00774118458601356
"118",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.025373017517861
"119",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0191865143977377
"120",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0296317528472616
"121",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00646302071614519
"122",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.000527592294550556
"123",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0154854608453945
"124",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00522864090090585
"125",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0136614532532593
"126",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00122509569992556
"127",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0169632476145224
"128",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0107546061132406
"129",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00181176653035893
"130",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00397776277543056
"131",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00633393179698385
"132",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0062117235931855
"133",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00882994858951108
"134",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00430901804106805
"135",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0125025077376995
"136",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00305181712493113
"137",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00570165861193435
"138",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0206838950970222
"139",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00210931281625369
"140",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00985377377113299
"141",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.000432999105786047
"142",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0101067525588857
